127.0.0.1 - - [27/Nov/2020:09:09:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:09:14 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:10:26 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:09 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:48 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:49 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:51 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:52 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:52 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:52 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:52 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:14:53 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:25 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:26 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:27 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:27 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:27 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:27 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:15:27 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2020:09:17:35 +0530] "GET /MVC_PROJECT/Register.html HTTP/1.1" 304 -
